author,comment,likes,published_at
@setanbelek5714,Apakabar RUu perampasan aset,0,2025-10-25T04:38:59Z
@Ilhamramadhan-s3f,"UU perampasan aset tolong segera sahkan.
Hukum mati untuk koruptor di atas 1 M",0,2025-10-25T04:25:56Z
@GitoGitojoyo,"Negara harus lebih kuat dari mereka ,karena rakyat siap memdukung pak presiden 👍",0,2025-10-25T04:18:50Z
@Setiawan1966-kb1yo,Kadang gak percaya kalau polisi yang menangkapnya sebab di tf oleh mafia bisnis ke kepolisian hukuman bisa ringan deperti kasus tambang timah di bangka  triliunan hukuman h,0,2025-10-25T04:04:38Z
@RniDs-x3j,"si limimitit DPO buronan indonesia , rakyat se indonesia bersatu ? nungu si ridal kalip mau melenyapkan dari muka bumi gegares dolang masa rakyat indonesi?",0,2025-10-25T03:30:08Z
@MuhammadTamrin-q3f,Riza halid kan tdk bawah lari uang..uangnya ada di bank,0,2025-10-25T03:22:41Z
@sontong8390,"Ini ya orang nya,, bikin 300 juta rakyat menderita. Coba serahin ke massa rakyat masyarakat Indonesia",0,2025-10-25T03:20:33Z
@SriNi-pz9sk,Selamat sukses pak prabowo bisa memproses yang selslu mengobok migas negara dan semoga bapak prabowo senantiasa icene kerahayuan sakeng ide sangiyang widiwasa astung kare.,0,2025-10-25T02:11:46Z
@KucingTiga-d3p,"GAK MALU SAMA NAMAMU BAWA NAMA MUHAMMAD KELAKUANMU BEJAT, MENDING GANTI NAMA FIROUN AJA",0,2025-10-25T01:50:01Z
@muhsahrir8343,"Riza chalid pada sebelum Prabowo tidak bisa diadili karena dia bersekutu dengan Jokowi. Pada masa Jokowi korupsi tumbuh dengan subur bahkan Jokowi sendiri sebagai raja koruptor no. 1 di lndonesia dan no. 3 di dunia versi OCCRP tapi dia tidak diadili karena masih dilindungi oleh: polisi, KPK, Jaksa dan Prabowo.  Tunggu aja azab kubur karena semua lembaga hukum dan Prabowo takut sama Jokowi. Tapi tidak takut kepada Allah.",0,2025-10-25T01:48:24Z
@SoemarJono-e5p,"Lebih  baik Risal kalit tak perlu ditangkap ditembak mati langsung dimana diya berada  jadi yg memburu itu penembak jitu kalau ditangkap tetap lolos diya dikasih sayembara bagi yg berhasil menembak Risal kalit mati atau hidup dikasih hadiah uang  yg wantasi pasti cepat ditangkap,",0,2025-10-25T01:03:21Z
@user-ev2nq1xt4q,Kalau GK ada hukuman mati sy rasa percuma cuma maju selangkah penegahkan hukum kita,0,2025-10-24T23:39:34Z
@zombiekoreng6307,Paling nanti hukumannya 8 bulan kurungan😂,0,2025-10-24T23:19:57Z
@petualanganfishingkuburaya1212,"Tolong cari sampai ketemu penghianat bangsa
Penyengsara rakyat Indonesia, katanya masuk daftar DPO,",0,2025-10-24T23:14:03Z
@catatankangrio8690,Blm ketangkap juga? Byk kasus besar cuman diungkap tanpa akhir yg jelas,0,2025-10-24T22:19:22Z
@BudiSetiawan-f8y,"Luhut, bahlil, megawati, puan juga tuh perlu diberesin. Najis gua liat muka mereka",0,2025-10-24T17:07:53Z
@NurAsman-c7o,Apakah yg dilakukan oleh Riza khalid ini tidak terpantau oleh penegak hukum sekian lama apakah para intelijen di kup oleh gruop Mafia,0,2025-10-24T16:34:21Z
@HarimauAndalas-r1b,"Hukum mati dan sita semua harta kekayaannya buat para koruptor itu tak perlu ham ham lagi,justru ham mereka buat untuk melindungi mereka para koruptor",0,2025-10-24T16:14:23Z
@satelit3643,anaknya itu suruh makan nasi bungkus sayaur kangkung.sama ikan teri,0,2025-10-24T16:07:01Z
@SusantoKacus76,Jangan sampai pilih presiden kelak .pilih yang berani menegakkan keadilan dan terus di Brantas korupsi.,0,2025-10-24T15:36:08Z
@dohaqatar4812,Ingat mati ya allah,0,2025-10-24T15:29:33Z
@RustamRustam-l1i,"Yang disalahin selalu sistim,mau sistim apa kalau UU korupsi lemah tidak guna coba koruptor di hukum mati saja pasti orang mau korupsi berpikir 1000 kali.",0,2025-10-24T15:18:42Z
@RustamRustam-l1i,E Anaknya juga kalau begitu hukum mati juga,0,2025-10-24T15:08:55Z
@danielagung6875,Hukum mati,0,2025-10-24T14:44:32Z
@ErnandoAngga,di Negara konoha kok gak ada Hukuman Mati bagi Koruptor ya,0,2025-10-24T14:33:11Z
@hasanbadrun1307,"mimpi mau tangkap RC, nangkep sivelster aja gak mampu",0,2025-10-24T14:20:53Z
@saproll679,Ternyata bosnya anis 😂,0,2025-10-24T14:05:59Z
@semesta7353,TAIK JOKOWI!,0,2025-10-24T14:05:33Z
@pakbas298,KEJAR TERUS SAMPAI TUNTAS.,0,2025-10-24T14:03:58Z
@AntoAsran,Hukum mati!!!!para koruptor maling uang negara dan rakyat,0,2025-10-24T13:08:44Z
@demyantavip5644,"kasihan , yg ditangkap cuma korban2 yg diqurbankan hanya untuk menenangkan bangsa yg bodoh",0,2025-10-24T13:03:33Z
@dry490,Padahal waktu pemilu 2014 si risa ini sumbang 500M ke timses prabowo,0,2025-10-24T12:47:01Z
@AminDollar-v8b,Pak prabowo d awali dg jnjg militer masa takut dan tdk mampu menangkap ridza c tlg buktikan pak agar rakyat smkn percaya mampunyai pemimpin yg mumpuni,0,2025-10-24T12:34:46Z
@Saifullah-i3o7m,Anis kapan ditangkap,0,2025-10-24T12:03:32Z
@angga9365,"DARI SOROTAN MATANYA SAJA SANGAT TAJAM, BENGIS DAN MENAKUTKAN.",0,2025-10-24T11:52:13Z
@muhammadrizalhambalirizall9147,"kejaksaan agung pasti rakyat dukungvkarena berani tetapkan RC jadi tersangka tapi siapa yg mau dukung KPK yg kerjanya keket enga berani banyak alasan menunggu pelapor walou porupsi di depan mata, KPK yg sekarang lebay",0,2025-10-24T11:13:07Z
@Dian_Dream,Harusnya gak boleh pakai masker.,0,2025-10-24T10:50:58Z
@ArabPeaaaa,"Kesel gw sama media, pake foto yang itu aja, apa semakin susah dapat orang ada dimana sampe foto lain pun tidak ada? ngeri banget ini sampe sekarang gk tau dimana, sampe hekel"" gk sanggup.",0,2025-10-24T10:31:49Z
@BosRoy-d3u,BURUUUUUUUUUU BAJINGAN HIDUP ATAU MATIIII. ANAKNYA DAH DI SEREEEET MAU JADI BAJINGAN KE BURU DI SEREEEET,0,2025-10-24T10:02:32Z
@Risusu1,"Jangan di berikan leluasaan para koroptor pak anak cucu Cholid wajib di deportasi dari Indonesia imigrasi wajib di kasih tau wajib tidak boleh tingal di Indonesia ,Sahroni juga di pecat,sudah merugikan negara",0,2025-10-24T09:21:19Z
@Doaworship,PERCEPAT PENANGKAPAN RIZA CHALID JANGAN CUMAN NANGKAP MALING AYAM YANG CEPAT,0,2025-10-24T09:11:00Z
@zackhary4677,"Jika suatu negara ingin mju mka hkum dan berantaslah para koruptor,tpi jika suatu negara ingin tertinggal mka kembangbiakkan tikus ini.",0,2025-10-24T08:22:55Z
@Moto.Rola-f6r,WAJAHNYA SPERTI ORANG PRINDAVAN,0,2025-10-24T08:07:21Z
@putrabarokah33,HUKUM MATI KORUPTOR BERSAMA KELUARGANYA SUDAH MENGAMBIL KESEJAHTERAAN DAN KEMAKMURAN RAKYAT INDONESIA,0,2025-10-24T07:45:29Z
@muhtarrudin5149,tangkap dan cari riza chalid,0,2025-10-24T06:52:27Z
@MuntulHk01,Klamaan cpt di sidang tlah itu hukum mati,0,2025-10-24T06:24:07Z
@ANH1504-v3w,"Ini sudah kategori CARTEL sudah bukan ke MAFIA, sebab dia sdah bercokol dari tahun ke tahun & tiap siapa yg naik sudah ada anggarannya nah karena riza chalid tidak harmonis dengan sang presiden 08 maka dia menabuh genderang perang sendiri. 🇮🇩🇮🇩",0,2025-10-24T06:10:43Z
@Irsyad-g7z,Ayo sahkan RUU perampasan aset koruptor,0,2025-10-24T06:08:55Z
@Yetty222,Mantap majutrus tuntas korupsi perminyakan,0,2025-10-24T05:55:15Z
@Kuningantigaempat,gokil,0,2025-10-24T04:06:15Z
@trimarley7136,Hukuman mati harus.miskinkan.ntar vonisnya cuman 5 th aduh 😅😅😅,0,2025-10-24T03:40:11Z
@kangsur7185,Indonesia gagal buat kilang minya karena para kontraktor dan pegawai  di sogok riza sehingga pembuatan kilang selalu gagal,0,2025-10-24T03:37:18Z
@gunungsimanjuntak576,Tangkap Rizal Holik masa Negara Kalah dengan Beliau,0,2025-10-24T02:52:19Z
@Sukoco-f6b,Dalam hal ini apa ini yang di sebut kekayaam alam di kuasai oleh negara dan untuk kesejahteraan rakkyat yang adil dan beradab di NKRI,0,2025-10-24T02:46:03Z
@muliawatiwetto,Sampai juga anda di tahap ini pak sekuat apapun anda kalau sudah korupsi pasti akan di tangkap hanya saja butuh waktu,0,2025-10-24T01:43:55Z
@Fabian-zu3zv,gk bakal bisa di tangkap,0,2025-10-24T00:45:08Z
@damaiy,Semangat memberantas korupsi,0,2025-10-24T00:39:09Z
@KalimantanPagi,"Aceh klo merdeka trus orang ini korupsi, aceh auto bangkrut",0,2025-10-24T00:33:38Z
@MamadYus-zw8gu,Iblis bermuka manusia ini lah yang cocok bagi manusia yang serakah,0,2025-10-23T23:27:53Z
@wahyusaputra2754,Dosa kau udah terbuka lebar Pintu Neraka Pak,0,2025-10-23T23:20:22Z
@nuraini-yd6sy,Huhuiii  korupsi  TRILIUNAN GILE  NIH -----,0,2025-10-23T23:19:58Z
@riamawatianitasari4699,Great president❤,0,2025-10-23T22:44:01Z
@suharsaharsa3315,"Hukuman mati sj,pada koruptor,klu ngk hukuman mati ngk kapok kapok mereka itu",0,2025-10-23T21:45:13Z
@Dita373,ERA JOKOWI PALING KENYANG UPETI.,0,2025-10-23T21:29:55Z
@afriyadi3733,Gampang cari dia. Lu hack aja keluarga ny dari cara komunikasi. Pasti ketawan posisi dia dimn,0,2025-10-23T17:41:12Z
@laksamanasalman5214,"jangankan riza chalid, nangkap silvester aja kek begitu wkwk",0,2025-10-23T17:17:25Z
@Ihsanaaris,Walaupun nanti masuk bui tapi tetep aja sel serasa kamar hotel,0,2025-10-23T16:50:45Z
@wongndeso5090,Gila !padahal di makan pun gak bakalan habis.tapi pada suka mengumpulkan harta haram 😢,0,2025-10-23T15:34:42Z
@wongndeso5090,Kenapa gak tersentuh ?mungkin semua kebagian 😅,0,2025-10-23T15:31:26Z
@junianto3866,🔥🥶,0,2025-10-23T15:11:34Z
@winataifadevu,"Jika ketemu tolong di hukum mati aja,,",0,2025-10-23T14:56:55Z
@fahmiidris4355,Jkl kompak apa si yg enggak bisa. Pastti bisa dlm segiapapun. Yakyat menunggu. BUMN. DI BERSIHKAN. DR ORANG BER HATI TIKUS. OKE.,0,2025-10-23T14:46:05Z
@HarryMassing,"Sory jangan kalian puja,puji kejagung, Riza Halid jaksa berani,, tapi diplester, fufufafa,jet pribadi,blok Medan, Aguan kejaksaan takut?wao,,!!ada apakah di balik semua ini??? ayolah kalian mikir!!!",0,2025-10-23T14:30:47Z
@nharadhaku3785,Gara2 manusia yg satu ini 200 jt manusia menderita..ironisss,0,2025-10-23T14:00:26Z
@ERUCOKRO-c7x,Melawan Abu Jahal,0,2025-10-23T13:53:40Z
@Mrpentet-andi.p,Uu perampasan harta apa sdh selesai ya😂,0,2025-10-23T13:47:08Z
@veracutmutiamutia4932,"anak nya aja di penjettt kaki nya 
biar bapak nya pulang ke Indonesia",0,2025-10-23T13:46:48Z
@widartoapt6465,"Andai pak Prabowo bisa dikalahkan oleh Kruew² mafia dan digantikannya, maka rakyat akan me Nepalkan",0,2025-10-23T13:22:31Z
@hadisoeroso5695,"INTELJEN DAN PENEGAK HUKUM APA KERJANYA, TANGKAP RIZAL CALID SAJA GK MAMPU. KLO ADA DPO PASTI GK BISA TANGKAP. SEBEGITU GK MAMPUNYA PENEGAK HUKUM NKRI, AMIT AMIT.",0,2025-10-23T12:58:07Z
@paryadi7163,Banyak yg terlibatnih,0,2025-10-23T12:55:23Z
@KajaSodikin,"Ayo pak prabowo, cepat desak ketua DPR agar cepat"" Mengesahkan uu perampasan aset, agar rakyat bisa menikmati duit rakyat yg di gondol maling"" Kelas kakap yg katanya kenal hukum",0,2025-10-23T12:54:15Z
@hnarsim9614,Trimakasi juga sama pak jakowi yg telamendukung pak prabowo.,0,2025-10-23T12:53:30Z
@UttyChan,DPO Gayus Tambunan dari Columbia bisa dideportasi,0,2025-10-23T12:44:54Z
@azurarose2450,"Di dunia dia biasa membeli hukum,tapi kelak dii akhirat, uangnya  tidak bisa menyogok para malaikat buat beli kavling di surga.",0,2025-10-23T12:43:50Z
@christianpeter7825,"Ga ada yg berani tangkap Rizal Halid. Walaupun sdh instruksi presiden sekalipun. Pasti banyak Albi utk menghindari penangkapan ini. Klu sampai RH ketangkap, ribuan orang pasti kena termasuk Joko Widodo.",0,2025-10-23T12:42:59Z
@wongdablongan69,Semua di ganti sistem maupun pemain libas,0,2025-10-23T12:42:57Z
@gobankferoza6136,Ini Donatur Utama pencapresan 2024 Anies Baswedan nie Riza Chalid 🎉🎉🎉,1,2025-10-23T12:39:25Z
@azamarrf6366,"Gilaaaaaa yaaa negeri ini di huni anjing"" busuk itu",0,2025-10-23T12:31:55Z
@ganjinganechannel5629,"Klo dia ktemu saya,, langsung tak eksekusi dg cara apapun",0,2025-10-23T12:26:22Z
@Rose.silitonga,Mafia kelas kakap,0,2025-10-23T12:25:12Z
@abayyoo4252,Chalid woi bukan Kholid!!,0,2025-10-23T11:45:40Z
@OscarSihotang-v6p,"Dimasa pak Presiden SBY tidak bisa diseret ke pengadilan, dimasa presiden Jokowi melenggang Kangkong tapi dimasa Presiden Prabowo Subianto disikat sepandai pandai tupai melompat sekali kali akan jatuh juga.sikat rija khali dan kroninya nusa Kambangan tempatnya",0,2025-10-23T11:43:47Z
@OscarSihotang-v6p,Tangkap Riza Khalid dia perlu di tangkap karena dia disangka korupsi,0,2025-10-23T11:10:58Z
@jokoprayitno7968,yapp aceh + Arab sangat syar'i sekali,0,2025-10-23T10:58:31Z
@pramugarafarm,Air asia indonesia itu sahamnya punya riza chalid harus nya di selidiki juga sama KPK,0,2025-10-23T10:38:24Z
@emmytheresia8664,Koruptor kok takut,0,2025-10-23T10:19:28Z
@agungwibowowibowo6014,"Presiden tidak benar benar bersungguh sungguh ingin menangkap Riza kalid, jika memang ada kemauan mudah saja, 1. Kerja sama dengan interpol, 2. Diadakan sayembara penangkapan buronan  internasional Riza khalid, dengan hadiah 1T,  bersembunyi di ujung dunia pun dijamin tertangkap.",0,2025-10-23T10:15:12Z
@wiwikhariyati6341,"Saya pernah bekerja di kebun kelapa sawit Reza chalid di Kutai timur , luasnya 250rb hektar itu baru satu titik dan ada 3 titik 😂, sekarang sudah di beli sinarmas , hayoooo !!!?",0,2025-10-23T10:04:08Z
@HeroMail-i4b,Sepertinya Riza Chalid tidak akan pernah tertangkap karena dia memegang rahasia A1 tingkat tinggi menyangkut mantan2 presiden RI dan tokoh2 penting lainnya 😅,0,2025-10-23T09:54:58Z
@HerlinaLina-c4k,"Harus mampu aparat hukum menangkap. Rizal Chalid. Mafia migas  dan BBM  oplosan.  Semoga  PK presiden Prabowo. Utk  perentahkan. Aparat. Dan para anggota DPR , DPD.  DPRD. Terlibat. Semua.  Masukin. Sel.  Bila kapolre TDK  berani menangkapnya. SEGERA GANTI KAPOlRI  Sertajajarannya.  Dari Herlina suryosutarso",0,2025-10-23T09:48:37Z
@coplusdefender8411,riza khalid setan bangst,0,2025-10-23T09:47:22Z
@NurAlim71,berani ga nangkap raja koruptor ini,0,2025-10-23T09:38:22Z
@SautSiregar-o8d,"Jaksa juga hati2  dalam menyidangkan anak reza ini, jangan sampai ada terjadi Suap, kalau terjadi Jaksa ybs akan ada pengadilan Rakyat.",0,2025-10-23T09:26:26Z
@SautSiregar-o8d,Sudah sebaiknya Sireza ini dihadapkan didepan Regu Tembak.,0,2025-10-23T09:21:12Z
@wayanadiantara6035,liat mukanya Rizal chalid pengen nginjek aja bawaannya,0,2025-10-23T09:18:16Z
@kevinkevin7414,Gk usah di cari biar membusuk di luar negeri,0,2025-10-23T09:16:44Z
@signalairdropid2669,katanya dia di malaysia bener atau tidak? malaydes dapat paus makanya di sembunyikan,0,2025-10-23T08:52:45Z
@cimut-r1r,Orang Aceh nih brow,0,2025-10-23T08:11:45Z
@AkhmadRifaibeta,"Jago kalau bisa nangkep, malah dilindungi, sebab kalau ketangkap pada ketahuan semua",0,2025-10-23T07:18:05Z
@ucuyuhana7251,ALUSNAMAH   MAFIA    KORUPTOR    DIPODARAN.,0,2025-10-23T07:04:19Z
@jamalthekel141,Orang bersalah pasti kabur,0,2025-10-23T06:40:11Z
@derliabubakar8176,Susahnya mencari orang jujur dan berani dinegara ini. Indonesia terlalu banyak orang pintar tapi pintar mengelabui,0,2025-10-23T06:37:30Z
@HodijahUma,Lanjutkan bawa k nusa kambangan,0,2025-10-23T06:36:59Z
@airahmah5618,Sita semua asetnya untuk bayar kereta woosh,0,2025-10-23T06:32:17Z
@WatiWatiah-u8k,"Reza kalid imigran Yaman koruptor Pertamina kelas kakap,harus di hukum gantung di pancung",0,2025-10-23T06:28:00Z
@Saidmubarok1,Presiden sebelumnya tdk ada yg brani menyentuh,0,2025-10-23T06:22:52Z
@Saidmubarok1,Luhut itu juga cepat dipriksa,0,2025-10-23T06:22:26Z
@AnangSuhendar-g5w,Aneh negara bisa dikibulin..cuma satu..orang..ayo pak presidenku tangkap,0,2025-10-23T06:13:03Z
@RaufLemambo,Mu setengah jam namanya koruptor harus di  ikat,0,2025-10-23T06:07:11Z
@bona226,Sbnarnya gk susah cari manusia ni. Asal interpol dan polisi serius mncari nya,0,2025-10-23T05:48:42Z
@rs-28sarmat74,"selama ini jaman SBY dan Jokowi, apa Riza Khalid dibiarkan bebas melata???",0,2025-10-23T05:37:51Z
@nawafidm6196,Babi yaman🤮,0,2025-10-23T05:24:32Z
@AldiAldy-d5t,Saya yakin gak bakal ketangkep😅,0,2025-10-23T04:37:21Z
@GokLimSuharjo,Riza Chalid menghiang terus yang nguruss perminjakan siapa. Harganja tak turun turun,0,2025-10-23T04:34:21Z
@andrearmento4765,Kl boleh bertanya..sebwnarnta dia sulit ditangkap atau dibiarkan? Karena keterkibaran banyak elit politik dinegri ini?,0,2025-10-23T04:24:52Z
@IhpanSaleh,Rakyat cuma ingin koruptor di hukum mati.,0,2025-10-23T04:17:14Z
@heriyantocecep344,"Hukuman mati dan sita kekayaannya, kayaknya pantas biar jadi contoh utk para pejabat korup lainnya!! Negara jangan kalah dengan Para mafia",0,2025-10-23T04:16:36Z
@User-v7v4k,"Cari dia singapore atau di korea,,,,pasti dia oplas wajahnya,klau gk ketemu pancung anaknya didepan publik,suruh muncul dia,,,klau gk muncul eksekusi anaknya",0,2025-10-23T04:05:36Z
@your.local.yuna1,"Jokowi yg berani bubarkan PETRAL, Prabowo yg mengusut PETRAL.ini namanya berkelanjutan",0,2025-10-23T04:04:08Z
@NetizenPurworejo,Riza chalid tangkap hidup maupun mati.,0,2025-10-23T03:59:13Z
@NahrawiNahrawi-kr2rf,Pasti operasi wajah. Pejabat yg terima suap wajib di hukum mati ataw buang je sumur yg di diami buaya lapar.,0,2025-10-23T03:56:44Z
@TunggaBabeleng-w9t,"Benar kata Mahmud MD, jika tidak ada mafia di sektor MiGas, seluruh rakyat Indonesia bisa di beri kira"" 10 juta per orang, tapi tenang pengadilan akhirat pasti adil, silakan akali hukum dunia, tapi pengadilan akhirat nanti mereka pasti bangkrut dan itu selama-lamanya.",18,2025-10-23T03:46:18Z
@abon5155,❤❤❤RASIONAL G NEGARA G BISA NANGKAP 1 ORANG PENJAHAT INI KATA'A APA KATA DUNIA COBA? YG MALING AYAM Z BEBEK BELUR G MALU APA?,0,2025-10-23T03:39:21Z
@AgungmandarMandar,Kalo bukan printah presiden prabowo mana berani jaksa.itulah hukum indonesia harusnya tampa printah mereka laksanakan tugas pokok mereka.,0,2025-10-23T03:30:39Z
@ngabangngabang-f1w,Jika ada yg menyembunyikan Risal kalif mka dia keturunan Yaman dan PKI karena dia merusak NKRI Indonesia ini,0,2025-10-23T03:25:29Z
@putrinilamsari4129,"ini pasti salah satu manusia yg tidak senang bapak 
Prabowo jadi Presiden RI. 🙂",0,2025-10-23T03:08:02Z
@pembelakebenaran100,Ini MANUSIA BENAR-BENAR BINATANG bahkan masih LEBIH BAIK BINATANG. MASYRAKAT INDONESIA BANYAK YANG DITIPU MENTAH-MENTAH isi Pertamax tapi Pertamax nya OPLOSAN,0,2025-10-23T03:00:36Z
@notpoland-1945,Ngimpi! Silvester aja gak ditangkap,0,2025-10-23T02:52:21Z
@glerryboy8668,Mana nih brimod atau team2 polisi yg selalu mempermainkan rakyat kecil dijadiin konten youtube diorang😂😂😂ini nih lakukan layar hitam ayo😂😂😂,0,2025-10-23T02:45:12Z
@chipper2163,Orang Arabpun berani korupsi gila2an.,0,2025-10-23T02:29:49Z
@apepsahani7938,Klo g ada yg berani gorok nih orang biar gw aj deh..gw ikhlas deh g di bayar juga asalkan satu keluarganya mau gw gorok,0,2025-10-23T02:16:50Z
@alexabad1986,"Jangankan si Riza, sekelas Silvester aja masih belum bisa ditangkap",0,2025-10-23T01:51:02Z
@infinixhot10-b7t,"Prabowo 32 tahun gass, makzulkan Gibran",0,2025-10-23T01:39:00Z
@ademdingin,Sudah DPO tapi saya punya feeling orang ini tetap gak akan ketangkap saat ini. Semoga aja bisa ketangkep cuman kok pesimis,0,2025-10-23T01:22:49Z
@bwiendelis7132,KAMI CAPEK MISKIN. KAMI INGIN KAYA BERSAMA SEPERTI NEGARA2 MAJU.,0,2025-10-23T01:19:30Z
@iyan_0948,Apakah akan muncul mafia baru pengganti pemain 😂😂😂😂,0,2025-10-23T01:12:33Z
@VendyOey,"Pemimpin harus tangan besi bagi koruptor,,dukung my president prabowo",0,2025-10-23T00:55:51Z
@54X4.11,"""Rose Child"" (RC)
_ Roths Child (RC)
_ Riza Chalid (RC)  
___ Manuk akal???",0,2025-10-23T00:37:31Z
@HobbyKezafa,Adakah keterlibatan plat merah?,0,2025-10-23T00:17:56Z
@HobbyKezafa,Bongkar,0,2025-10-23T00:16:12Z
@Sammy-ec2ix,Donaturnya anies baswedan nih,0,2025-10-22T23:42:06Z
@dioafrizon7723,"Dah sudah alias udah kenyang lu , gantian dong 😂🤣 ini masalah pergantian pemain",0,2025-10-22T22:36:09Z
@gusdionoono9020,"Negara kalah dgn koruptor, miris ya negeri yg kaya SDA - nya rakyatnya justru miskin,cuma di konoha",0,2025-10-22T22:21:15Z
@Agustywnreal,"Negara ini sangat kaya raya tapi para mafia ini yang menikmati hasilnya dari cara2 kotor korupsi, semoga cepat ketemu si MRC dan dijebloskan penjara hukuman seumur hidup atau mati.",3,2025-10-22T22:18:18Z
@suryanugroho9900,Singapore tempat yang nyaman persembunyian para koruptor kakap,0,2025-10-22T22:16:03Z
@enda.cintaa,Aura Serakah bin Rakusnya Keliatan banget,0,2025-10-22T21:02:05Z
@strombird3615,ratusan juta rakyat konoha kalah sama orang ini?🤦🏻‍♂️,0,2025-10-22T19:47:14Z
@bgnoob8763,Org seperti ini layak di hukum mati,0,2025-10-22T19:42:58Z
@usrip-n9o,Bukti uang negara di korupsi atau digarong oleh mafia mafia kelas kakap ? Rakyat Indonesia banyak bukti banyak yg kelaparan dan juga banyak yg nyengir sulitnya ekonomi,0,2025-10-22T17:48:55Z
@Ox_musk,Ternyata dia orng bugis makasar yah,0,2025-10-22T16:12:19Z
@uchuriza,Pak Buzzer - dia tidak lahir di Aceh lho :)),0,2025-10-22T16:06:51Z
@juswardipurba2598,kebal hukum dan tak  kenal hukum 🤣🤣🤣 hukum sudah di kantongi mafia migas 🤣🤣,0,2025-10-22T16:01:12Z
@Aariyaz_Aayuz,*_RIZA CHALID SI MUKA SETAN_*,1,2025-10-22T15:59:45Z
@auliaizatun5525,Lbp loe bhas,0,2025-10-22T15:56:28Z
@sopianhadi-1985,Ntar kalau kita lihat rijal khalid! Tebas aja kepalanya 😂sah di vonis mati!,0,2025-10-22T15:50:07Z
@ronikaylao31,"Itu orang ada bounty untuk kepalanya, lu Nemu trus laporkan auto cuan😅😅😅",0,2025-10-22T15:40:49Z
@arbytaufik5944,"Mangkanya, sampe sekarang gua ga percaya harga bbm pertalite itu 10rb walaupun sudah disubsidi, harusnya di kisaran 5000/6000an rupiah per liternya. Berikut juga dngan minyak non subsidi lainnya yg seharusnya yang paling mahal kisaran 10ribuan aja. Gara gara ini oranglah bbm kita mahal untuk kepentingan hidup dia aja.",0,2025-10-22T15:34:07Z
@akuanglee5393,Terima kasih,0,2025-10-22T15:25:34Z
@asikinabdhulghani5495,"Boro"" nangkep Rizal Kalid, nangkep Silvester aja kga ada nyali,omong besar nyali ayam sayur",0,2025-10-22T14:57:46Z
