stopword removal,Score,Sentiment
air asia indonesia sahamnya riza chalid selidiki kpk,-1,Negatif
koruptor takut,0,Netral
presiden bersungguh sungguh menangkap riza kalid kemauan mudah kerja interpol diadakan sayembara penangkapan buronan internasional riza khalid hadiah t bersembunyi ujung dunia dijamin tertangkap,1,Positif
kebun kelapa sawit reza chalid kutai timur luasnya ribu hektar titik titik beli sinarmas hayoooo,-3,Negatif
riza chalid tertangkap memegang rahasia a tingkat mantan presiden ri tokoh,0,Netral
aparat hukum menangkap rizal chalid mafia migas bbm oplosan semoga pakai presiden prabowo perentahkan aparat anggota dewan perwakilan rakyat dpd dprd terlibat memasuki sel kapolre berani menangkapnya ganti kapolri sertajajarannya herlina suryosutarso,-3,Negatif
riza khalid setan bangsat,-2,Negatif
berani nangkap raja koruptor,0,Netral
jaksa hati menyidangkan anak reza suap jaksa ybs pengadilan rakyat,-1,Negatif
sireza dihadapkan didepan regu tembak,-1,Negatif
lihat mukanya rizal chalid pengin menginjak bawaannya,0,Netral
cari membusuk negeri,-1,Negatif
malaysia malaydes paus sembunyikan,0,Netral
orang aceh nih brow,0,Netral
jago nangkep dilindungi ketangkap ketahuan,0,Netral
alusnamah mafia koruptor dipodaran,-1,Negatif
orang bersalah kabur,-2,Negatif
susahnya mencari orang jujur berani dinegara indonesia orang pintar pintar mengelabui,-2,Negatif
lanjutkan bawa nusa kambangan,1,Positif
sita asetnya bayar kereta woosh,-1,Negatif
reza kalid imigran yaman koruptor pertamina kelas kakapharus hukum gantung pancung,-2,Negatif
presiden berani menyentuh,1,Positif
luhut cepat dipriksa,0,Netral
aneh negara dikibulincuma satuorangayo presidenku tangkap,-1,Negatif
mu jam namanya koruptor ikat,0,Netral
susah cari manusia nih interpol polisi serius mncari,-2,Negatif
jaman surabaya jokowi riza khalid dibiarkan bebas melata,-2,Negatif
babi yaman,-1,Negatif
ketangkep,0,Netral
riza chalid menghiang nguruss perminjakan harganja turun turun,0,Netral
bertanyasebwnarnta sulit ditangkap dibiarkan keterkibaran elit politik dinegri,-1,Negatif
rakyat koruptor hukum mati,0,Netral
hukuman mati sita kekayaannya kayaknya contoh pejabat korup negara kalah mafia,-5,Negatif
cari singapore koreapasti wajahnyaklau ketemu pancung anaknya didepan publiksuruh muncul diaklau muncul eksekusi anaknya,0,Netral
jokowi berani bubarkan petral prabowo mengusut petralini namanya berkelanjutan,0,Netral
riza chalid tangkap hidup mati,-1,Negatif
operasi wajah pejabat terima suap wajib hukum mati ataw buang je sumur diami buaya lapar,-2,Negatif
mahmud md mafia sektor migas rakyat indonesia juta orang tenang pengadilan akhirat adil silakan akali hukum dunia pengadilan akhirat bangkrut selamalamanya,0,Netral
rasional negara nangkap orang penjahat kataa dunia coba maling ayam bebek belur malu,0,Netral
printah presiden prabowo berani jaksaitulah hukum indonesia tampa printah laksanakan tugas pokok,0,Netral
menyembunyikan risal kalif mka keturunan yaman pki merusak nkri indonesia,-1,Negatif
salah manusia senang prabowo presiden ri,1,Positif
manusia benarbenar binatang binatang masyrakat indonesia ditipu mentahmentah isi pertamax pertamax oplosan,1,Positif
mimpi silvester ditangkap,1,Positif
nih brimod team polisi mempermainkan rakyat dijadikan konten youtube diorangini nih lakukan layar hitam ayo,1,Positif
orang arabpun berani korupsi gilaan,-1,Negatif
berani gorok nih orang gue dehgw ikhlas deh bayar keluarganya gue gorok,1,Positif
riza sekelas silvester ditangkap,0,Netral
prabowo gass makzulkan gibran,0,Netral
dpo feeling orang ketangkap semoga ketangkep cuman pesimis,0,Netral
capek miskin kayak negara maju,-2,Negatif
muncul mafia pengganti pemain,-2,Negatif
pemimpin tangan besi koruptordukung my president prabowo,1,Positif
rose child rc roths child rc riza chalid rc manuk akal,0,Netral
adakah keterlibatan plat merah,-1,Negatif
bongkar,-1,Negatif
donaturnya anies baswedan nih,0,Netral
alias kenyang gantian pergantian pemain,0,Netral
negara kalah koruptor miris negeri kayak sda rakyatnya miskincuma konoha,-3,Negatif
negara kayak raya mafia menikmati hasilnya kotor korupsi semoga cepat ketemu mrc dijebloskan penjara hukuman seumur hidup mati,-5,Negatif
singapore nyaman persembunyian koruptor kakap,1,Positif
aura serakah bin rakusnya banget,1,Positif
ratusan juta rakyat konoha kalah orang,0,Netral
orang layak hukum mati,0,Netral
bukti uang negara korupsi digarong mafia mafia kelas kakap rakyat indonesia bukti kelaparan menyengir sulitnya ekonomi,-6,Negatif
orang bugis makasar,0,Netral
buzzer lahir aceh lho,1,Positif
kebal hukum kenal hukum hukum kantongi mafia migas,-1,Negatif
riza chalid muka setan,-1,Negatif
lbp lo bahas,1,Positif
entar lihat rijal khalid tebas kepalanya sah vonis mati,1,Positif
orang bounty kepalanya nemu laporkan auto cuan,0,Netral
mangkanya gua percaya harga bbm pertalite ribu disubsidi kisaran an rupiah liternya minyak non subsidi mahal kisaran ribuan gara gara oranglah bbm mahal kepentingan hidup,2,Positif
terima kasih,1,Positif
boro nangkep rizal kalid nangkep silvester kga nyaliomong nyali ayam sayur,-1,Negatif
asli sosok geng baalawi merugikan negara ratusan triliun curiga aliran dananya mengalir ormas bubarkan jokowi,1,Positif
korut beresaabsk korupsi,-1,Negatif
diada diatur undangundang terkait tersangka pelaku kejahatan memakai maskerjd tolong dipakaikan masker tersangka disorot publik,-1,Negatif
hukum adil adilnya,0,Netral
kejar,-1,Negatif
rakyat menderitakoruptor enak bermewah,0,Netral
koruptor keturunan cina tersentuh pengadilan,-1,Negatif
gas rakyat mendukung berantas penghianat lintah penghisap darah bangsa,-1,Negatif
hukuman mati anaknya rc,0,Netral
riza kalit entar kayak harun masiku,-1,Negatif
mahasiswa demo cari orang orang inimerakalah biang kerok penderitaan rakyat,-4,Negatif
orang tangkap prabowo presiden seumur hidup ok,1,Positif
prabowo presiden priode riza chalid tertangkapseperti masiku,1,Positif
hajar,-1,Negatif
nikel nih kemajuannya,0,Netral
rc imigran yaman,0,Netral
umpetin sultan malaysia,0,Netral
orang kabur swis,-1,Negatif
entar ketangkap,0,Netral
maaf komaidi sekilas komedian tukul,0,Netral
riza khalid duitnya mengalir partai polisi oknum tni kuat lihat kesaktian prabowo bubarin mafia migas riza chalid berhasil tunggu,1,Positif
istana reformasi korupsi reformasi pesta korupsi ramai ramai,-1,Negatif
buronan kakap ditangkap warga negara indonesia cabut tolong kementerian hukum kejaksaann proses hukum,0,Netral
koruptor dihukum mati,0,Netral
sah uud hukuman mati koruptor,0,Netral
sdr riza chalid lari sembunyi manusia sembunyi allah swt malaikatingat alam kubur akhirat menunggumu,1,Positif
nangkep teroris ditengah hutan nangkep koruptor susah,0,Netral
maju kumparan media membawakan kebenaran,0,Netral
gang yaman menghancurkan indonesia,-2,Negatif
negara menampung koruptor menampung penjahat,0,Netral
persekongkolan anies tom lembong biadab dasar mqnusia pri kemanusiaan adqb,0,Netral
semoga korosi dihukum,0,Netral
gila,0,Netral
berkuasa berpesta rakyat,1,Positif
bagus,0,Netral
arab yaman,0,Netral
tangkap bunuhhhh,-1,Negatif
koruptor takut ancaman dimiskinkan menyita aset hasil korupsi dimiskinkancabut hak politik koruptor mempersempit ruang gerak penjara,-5,Negatif
alhamdulillah berkat menabrak jokowi prabowo bersatu orang hebat bersatu kalang kabut mafia indonesia,-3,Negatif
tangkap bebas euuy,-2,Negatif
serius berani tangkap,-2,Negatif
npa pdip yega tega menolak uu perampasan aset korupgor hukuman matipara koruptor parah partai,-3,Negatif
riza kolid lolos licin bermain pejabat indonesia wkwkw,-2,Negatif
tertangkap ditangkap halnya eddy tanzil pegang nama pejabat korup glokart tini,-3,Negatif
kayak petruk riza ih amit cabang mayit,-3,Negatif
kejagung semangat tangkap riza chalid rakyat mendukungmu,-1,Negatif
sehat bapan pemeriksa keuangan prsiden prabowo rakyat dibelakang bapan pemeriksa keuangan prsiden hajar sikat mafiaaa dna koruptor,-1,Negatif
riza chalid silfester aman,0,Netral
sayembara kepala riza chalid orang butuh duit memburunya bajak laut kriminal anime one piece,-2,Negatif
tuh periode,0,Netral
ahok aktor utamanyaa,0,Netral
berani menangkap orang langsung ketangkap langsung masuk media susah menangkap orang beliau mudah berkeliaran,0,Netral
membela kuasa hukumnya semoga dilaknat dunia beserta akhirat neraka jahanam,-1,Negatif
gembong mafia migas pencuri uang rakyat indonesia riza kalid yaman,-1,Negatif
chalid bos anime ganyang fufufafa,1,Positif
mulyono mengapai,0,Netral
netanyahu indonesia,0,Netral
sentuh indonesia miskin hancur gara pejabat rakus,-3,Negatif
miskinkan rampas asetnya,-1,Negatif
beliau bersembunyi bunker mewah disediakan pemerintah swiss kamboja bunker,0,Netral
koruptor dihukum mati dimiskinkan harap koruptor hilang negeri konoha,0,Netral
raut wajahnya riziq kelahiran aceh penasaran,0,Netral
pendukung prabowo hatta pilpres,1,Positif
riza chalid ketangkep yakindeh pejabat mantan pejabat terjerat hukum dewan perwakilan rakyat,-4,Negatif
iblissssss berwajah manusia,1,Positif
mega korupsi pertamina dirut dijabat letjen tni ibnu sutowo adili dipenjara jawabannya ibnu sutowo bernyanyi pejabat sipil militer terlibat,0,Netral
presiden sblnya panggil kejaksaan,0,Netral
semoga tuhan mbantu rakyat indonesia mnangkap koruptor kelas kakap,0,Netral
sepi oh fakta,-2,Negatif
muka muka yaman,0,Netral
tuntaskan rakyat menunggu,-1,Negatif
t,0,Netral
hukum mati manusia dajal tertangkap,0,Netral
riza chalid dajjal bbm,0,Netral
gara orang negara memakai minyak oplosan,-1,Negatif
matikan data perbankan riza chalid mempersempit ruang geraknya,-2,Negatif
penjahat korupsi kasih maskerklu kgk pakein baju diliput tv malu diakgk hbisny korupsi indonesia ganti gede korupsinya,-2,Negatif
google bilangnya lahir makassar wkwk,1,Positif
pantesan rakyat indonesia hidup miskin kekayaan salah pejabat memperkaya pribadi pejabat jahat,-5,Negatif
raja ngibul raja korup kagak ditumbangkan monster menguasai dunia sebentar memplokamirkan raja berdomisili ikn istana kerajaan,-4,Negatif
hm,0,Netral
bikin susah negeri uu membekukan asetnya tersangka gampang suap suap ngentot ngentot coba biarkan negeri gelandangan uangnya pakai negara berbelit negara,-1,Negatif
uu peramasan aset disahkan woiii dewan perwakilan rakyat brengsek,-2,Negatif
oh trnyta halid orang aceh ngaka serakah,0,Netral
eh aalaa tangkap slysvester nangkep rizal chalid orang bodo percaya,-1,Negatif
tangkap wooo sapu bersi ragurakyat dukung penu membersikan malenguwang negara,-1,Negatif
jokowiluhuttitosri mulyanirini mati jamin aman negara,-1,Negatif
semoga cepat tertangkap,0,Netral
ah sautt pimpinan kpk mengapai korupsi dipertamina menggurita gerakannya diberantas presiden prabowo pesimis nyinyir mentang pendukung wan jmbut bagus nyinyir mengapresiasi,-3,Negatif
netizen dunia bantu cari bawa pulang indonesia koruptor rc,-1,Negatif
harta kekuatan solusinya rampas harta hasil pendapatan mafia hukum minimal seumur hidup,0,Netral
nepal,0,Netral
sengaja disuruh kabur taiie sandiwara doangkalo ketangkep pejabat penjara,-5,Negatif
hubungannya mahalnya bbm indonesia mahal kualitasnya rendah pertamina ngakunya rugi,-1,Negatif
betapa beratnya brantas korupsi koruptor marak n berakal luas,2,Positif
presiden membangkitkan penembak misterius mengenyahkan koruptor mafia,0,Netral
gebrakan menghantam pemain lamah bangsa negeri pergantian pemain geng onta geng maling salah namanya maling ditakuti orang mafia,-4,Negatif
ayo serius ayo serius musnahkan koruptor mafia,-1,Negatif
riza chalid duit penjara ambil,-2,Negatif
orang kuat dilawan orang kuat,0,Netral
suka nyinyir bocor bocor bocorfakta terbukti prabowo,-2,Negatif
negara kalah swasta cuman seglintir orang,-1,Negatif
babii imigran kabib yaman,0,Netral
negara tetangga kayak negara indonesia,-1,Negatif
rizal kholid tersentuh predudenya takut dalem,-2,Negatif
kalah negara mapiamemalukan negara kalah mafia,-3,Negatif
riza chalid dilindungi penguasa negara periodekarena upetingnya,0,Netral
zaman surabaya dipelihara orang fee usdberrel,0,Netral
bagus pakai sikat mafia,-1,Negatif
riza chalid hukum seumur hidup,0,Netral
presiden tangkap riza chalid orang rusuh merusak negara bangsa ngancam mengancam presiden diancam mudahan riza chalid secepatnya tertangkap,3,Positif
kemarin kamren cari ketemu cari riza chalid,-1,Negatif
negara kibulinselama kemana pejabat negara,-1,Negatif
makanyajgn anak abah presiden diah,1,Positif
hopengnya wiwi banget,1,Positif
koruptor sita asetnyadi miskinkan koruptor berkurang,-1,Negatif
kejar muak lihat perusak negara berjuang penduduk pribumi merusak orang asing,-1,Negatif
koropsi hukum mati mati,0,Netral
menanam menuai bertanggung,0,Netral
tumben sepi nih berita oh iya tersangkanya minority,-3,Negatif
orang koruptor tuh piraun,0,Netral
sahkan uu perampasan aset koruptor,0,Netral
hukum hukuman mati,0,Netral
lipat persembunyianya kong kalikong negara perlindunganya langsung negara keuntungan sang buron,2,Positif
interpol halangi ileh negara persebunyian buronan mengambil alternatif,0,Netral
ahong berani hadapi reza halidpurbaya kak jagung berani tangkap rjhalid,-1,Negatif
kelahiran aceh bercampur timur sok agamis busuk dukung no kemarin baby,2,Positif
duit mah hidup planet bukti ayah bermoral anak dikorbanin ngumpet,-3,Negatif
perampasan aset dilaksanakan kabur harta bendanya ambil,-2,Negatif
takut lari jiret hukum lari takut kayak duit memadai lari jiret hukum,-4,Negatif
tangkap rizal kholid pengikutnya,-1,Negatif
tangkap rizal hukum mati,-1,Negatif
riza kebal hukum kebal hukum pengadilan masarakat menghukum,0,Netral
presiden aparat niat berantas mafia korupsi bayar profesional agen mancanegara hebat menangkap koruptor,-3,Negatif
riza chllid manusia malaikat negara takut orang riza negara bobrok takut orang,0,Netral
pengacara bela client fungsinya dibayar mahal,2,Positif
riza khalit tampil beda kumisnya cukur habis,-1,Negatif
silver jakarta ditangkap rezahalid diluar negeri,0,Netral
koruptor bangsat menyewa media memframing presiden prabowo sosok jahatternyata era presiden prabowo tumbang sehat umur prabowo indonesia makmur sejahtera,2,Positif
reza khalid melindungi orang pejabat kalah orang dilindungi melindungi lindungi korupsi buah malakama no topika tendang danau toba ketendang heran orang model kayak ditakuti,-4,Negatif
ketua mafia migas indonesiasangat licin melindungi diadari jenderal jenderal aktif aktif,-1,Negatif
salah pemerintah orang koruptor angkat,0,Netral
diluar konteks ethanol green energy nonsense relevan ev tuntut pertamina naikin kualitas bbm mobil rusak dimana,1,Positif
revisi uu no dijalankan merubah tata kelola migas selidiki merancang uu sosok riza chalid,0,Netral
nangkap manusia kantor takut bego bego kebiasaan korupsi,0,Netral
negara menangkap penjahat koar wacana,-1,Negatif
jaksa dikawal pasukan khusus aman,-1,Negatif
mafia hati terima kasih berkat jasa rakyat akses bensin berkualitas,4,Positif
karakter bangsa perampok percaya aksinya berjamaah aparat pemerintah perampokan sda papua oap berkeras pemerintahh itukan rampok salam,-1,Negatif
kirim densus ajamasa nangkap teroris orang,1,Positif
vibe chill kayak l parah,-2,Negatif
scroll eh wkwk,0,Netral
anjir nongol wkwk,-1,Negatif
kayak lihat oh iya l,0,Netral
scroll langsung nemu pl,0,Netral
gue doang lihat p mulu,1,Positif
vibenya kayak banget anjir,0,Netral
partai coklat cari riza chalid orang partai coklat bekinginya,-1,Negatif
kereta cepat target reza holid jokowi,-1,Negatif
eranya presiden prabowo koruptor orangorang bermoral bersihkan nkri hukum seberat beratnya kecuali contoh,0,Netral
tuh susah hilang,-1,Negatif
eh lihat pl fyp,1,Positif
vibenya banget anjir,1,Positif
pl muncul momen random,-1,Negatif
random banget kayak vibes,-1,Negatif
kayaknya efek deh,0,Netral
gila pulauwin parah,-1,Negatif
nih tangan banget,2,Positif
pl muncul,0,Netral
lihat pulauwin terbayang,2,Positif
mafia minyak bengis sadis,-3,Negatif
sang big bos kaum habib diindonesia,1,Positif
auto,0,Netral
wkwk nongol mulu,-1,Negatif
pulauwin rame,0,Netral
anjir banget,1,Positif
vibesnya kayak sumpah,-1,Negatif
gue pl wkwk,0,Netral
nongol parah,-2,Negatif
vibe pl nih,0,Netral
eh,0,Netral
pulauwin muncul fyp,0,Netral
santai eh nongol pl wkwk,0,Netral
gue scroll dikit eh muncul,-1,Negatif
rame banget,1,Positif
auto lihat chill,1,Positif
tuh kayak template fyp,-1,Negatif
eh fontnya kayak deh,-1,Negatif
kayak pl muncul,-1,Negatif
benaran scroll,0,Netral
again muncul mulu sumpah,0,Netral
doang l muncul,0,Netral
kayak p lu l a lu gue i n vibes,-1,Negatif
btw,0,Netral
muncul,0,Netral
random banget aura pl,0,Netral
waniiiiii,0,Netral
bantu up kawan beritakan media cepat selesai,0,Netral
up berita angkat,0,Netral
koruptor berganti pemain sistem aturan terselubung korupsi berjalan otomatis senyap memaksa korupsi berjalan sumber pusat money politik sumber pendanaan terselubung politik tersangka utama,-6,Negatif
hidup prabowo presiden kaleng,1,Positif
demoin suruh rakyat indonesia rakyat datangin aset rumahnya indonesia kebal masyarakat bersatu habis koruptor,-2,Negatif
kebodohan pemerinta ri takut mafia tugas negara pengecut ta ik,-4,Negatif
nama dibesarkan media tolol,-1,Negatif
hukum tegakan sita asetnya miskinkan blacklist negara hukum mati,0,Netral
maju pantang mundur bos kumparan,0,Netral
senang memilih neraka rupannya pejabat petinggi tingkat bawahpetinggi hukuman matitingkat seumur hidupdisemua instansilaporannya rugi periksa bersih bersih kpk bantuan bantuan dislewengkan,-3,Negatif
angkat bu susi pudjiastuti b ahok menteri,1,Positif
kawal sidang selesai bos kumparan,1,Positif
mantap bos kumparan,2,Positif
berani cina jera,-1,Negatif
prabowo sikat habis mafia negeri reshuffle menteri n ganti purbaya,-1,Negatif
semoga jaksa polisi tentara kompak menjaga apbn aset negara tanah hutan tambang alokasi gaji pensiun,-1,Negatif
bowo berani bela mati matian palestina panggung global orang dipandang presiden berkarakter dunia gunakanlah kepentingan bangsa negara rakyat rusak prestasi susah gagalnya menangkap orang koar diluar cari nama didalam busuk bernanah salam golongan putih,-2,Negatif
posisi rizal kosong initruss isi orang bermental rizal intinya pindah mulut garong mulut perompak negara kadali,-3,Negatif
beliau me larikan sembunyikan penguasa terli banget kejahatan ber beliaujd adil hax beliau pelakukeja hatan tsbt biadab perasaan banyakx rakyat menderita sesu nasi,1,Positif
tangkap reza kholid,-1,Negatif
mafia minyakpak prabowo subianto presiden terpengaruh jerat hukum mati koruptor,-1,Negatif
prabowo purbaya mantaaaabbb gaspooooolll habisi korupsi sehabishabisnya sejahterakan rakyat miskin segeraaaaaaaa,-2,Negatif
presiden prabowo subianto ythsudahlah ketua diganti den diganti masyarakat gagasan tindakan kontroversitdk peduli meninggalkan ekonomi tercabik cabik whooshiknbahan tambang dijual asing meninggalkan ekonomi hutang masive,-2,Negatif
bangsa penakut berani menghukum bersalah,-1,Negatif
negara bebas bandit,-2,Negatif
duitnya susah,-1,Negatif
korea utara china dor mampus konoha koruptor penjara remisi ataw masuk rutan bebas hukum kagak maju negara,-5,Negatif
licin banget rc adakah aparat indonesia menangkapnya perlihatkan profesionalisme gepokan duit mmenyogokmu sadarlah duit haram,0,Netral
rakyat menderita koruptor,-1,Negatif
cpo timah minyak bumi emas pajak bea cukai negara kayak pengelolaannya rakyat makmur sikat akar,-1,Negatif
nangkep silfester kagak gaya nangkep riza khalid,-1,Negatif
harto mrc mafia migas,-1,Negatif
silvester mata berani nangkepapalagi sekelas riza calid mafia migas keberadaan dimana,-2,Negatif
salam nkri,0,Netral
aah menemukan buron kelasnya gurem harun masiku berdaya kelasnya paus duit buanyak daya berdaya,3,Positif
petranya bubarin jokowi,0,Netral
indonesia tangkap orang indonesia tangkap edy tansil kucing an,-2,Negatif
kayak pablo ekobar orang menggerekan rakyat,-1,Negatif
riza chalid tangkap penjarakan seberatnya hukum mati,-1,Negatif
gampang mah tinggal bikin sanyambara kayak film lo bawa kepala mrc minggu kelar tuh sylvester mah grantisin kasihan uang,0,Netral
beliau padang arafah umroh entar dai bareng somad habib rijik,0,Netral
miskinkan koruptor hukum mati,0,Netral
bakar,0,Netral
riza chalid pateni bae guwe,0,Netral
gantung riza chalid koruptor terbesar indonesia merdeka,-1,Negatif
orang pemberani jujur berani nangkap,0,Netral
